,city,state,zip,longitude,latitude,dma region,state abr,criteria id,"""blockFips""","""incomeBelowPoverty""",medianIncome,incomeLessThan25,"incomeBetween25to50""",incomeBetween50to100,incomeBetween100to200,incomeGreater200,educationHighSchoolGraduate,educationBachelorOrGreater
14782,Mesquite,Texas,75149,-96.60759,32.767329,Dallas-Ft. Worth,TX,1026619.0,481130175002019,0.19,65906.0,0.1809,0.3271,0.5532,0.0319,0.0,0.5299,0.0
14783,Mesquite,Texas,75150,-96.63355,32.818392,Dallas-Ft. Worth,TX,1026619.0,481130178072001,0.19,30614.0,0.3066,0.4953,0.219,0.0,0.0,0.6244,0.2031
14784,Palmer,Texas,75152,-96.68103,32.425222,Dallas-Ft. Worth,TX,1026673.0,481390601023059,0.115,43436.0,0.1498,0.4593,0.2997,0.1183,0.0239,0.6661,0.0731
14785,Rice,Texas,75155,-96.48147,32.226257,Dallas-Ft. Worth,TX,1026728.0,483499701002142,0.215,51172.0,0.26,0.2898,0.3805,0.0767,0.0329,0.6602,0.1483
14786,Scurry,Texas,75158,-96.38502,32.466891,Dallas-Ft. Worth,TX,1026776.0,482570512021063,0.119,66994.0,0.1424,0.303,0.2788,0.2667,0.0258,0.7548,0.0917
14787,Seagoville,Texas,75159,-96.53811,32.628858,Dallas-Ft. Worth,TX,1026778.0,481130170015037,0.19,47258.0,0.2261,0.4122,0.4122,0.033,0.0,0.718,0.059
14788,Terrell,Texas,75160,-96.28923,32.747747,Dallas-Ft. Worth,TX,1026833.0,482570503002000,0.119,35961.0,0.3222,0.5684,0.1398,0.0881,0.0,0.793,0.1682
14789,Terrell,Texas,75161,-96.187,32.727366,Dallas-Ft. Worth,TX,1026833.0,482570506004054,0.119,55596.0,0.2413,0.2565,0.4915,0.0547,0.0278,0.7348,0.0823
14790,Trinidad,Texas,75163,-96.10935,32.17548,Dallas-Ft. Worth,TX,1026850.0,482139509021011,0.193,28065.0,0.4614,0.2797,0.2693,0.1127,0.0,0.709,0.0759
14791,Waxahachie,Texas,75165,-96.83283,32.397024,Dallas-Ft. Worth,TX,1026873.0,481390603001014,0.115,57376.0,0.2582,0.1858,0.4519,0.1528,0.0145,0.9613,0.1429
14792,Lavon,Texas,75166,-96.43601,33.022051,Dallas-Ft. Worth,TX,9052301.0,480850312012065,0.077,92497.0,0.0314,0.1859,0.4686,0.2688,0.0666,0.7836,0.1663
14793,Waxahachie,Texas,75167,-96.91801,32.380958,Dallas-Ft. Worth,TX,1026873.0,481390602111069,0.115,57607.0,0.0923,0.1921,0.5066,0.1431,0.0659,0.7736,0.2143
14794,Wills Point,Texas,75169,-96.00238,32.725386,Dallas-Ft. Worth,TX,1026891.0,484679505002000,0.168,37248.0,0.4394,0.1288,0.2045,0.2064,0.0208,0.775,0.1228
14795,Nevada,Texas,75173,-96.42153,33.048275,Dallas-Ft. Worth,TX,1026649.0,480850312011003,0.077,76066.0,0.1379,0.2016,0.3333,0.3416,0.0,0.7975,0.1697
14796,Balch Springs,Texas,75180,-96.61634,32.72203,Dallas-Ft. Worth,TX,9051542.0,481130172015000,0.19,32133.0,0.342,0.6061,0.1604,0.0,0.0,0.8161,0.0786
14797,Mesquite,Texas,75181,-96.55886,32.735812,Dallas-Ft. Worth,TX,1026619.0,481130173043015,0.19,116305.0,0.0328,0.0656,0.3314,0.4864,0.0837,0.9971,0.327
14798,Mesquite,Texas,75182,-96.56965,32.803646,Dallas-Ft. Worth,TX,1026619.0,481130181042049,0.19,123788.0,0.0776,0.1145,0.2157,0.4721,0.1618,0.8948,0.3603
14799,Royse City,Texas,75189,-96.31278,32.960512,Dallas-Ft. Worth,TX,1026751.0,483970404011083,0.064,72904.0,0.104,0.229,0.563,0.1168,0.0,0.6782,0.1224
14800,Dallas,Texas,75201,-96.79941,32.787629,Dallas-Ft. Worth,TX,1026339.0,481130021002013,0.19,99620.0,0.0732,0.252,0.2472,0.478,0.0,0.7443,0.6222
14801,Dallas,Texas,75202,-96.80502,32.77988,Dallas-Ft. Worth,TX,1026339.0,481130031012020,0.19,81397.0,0.0719,0.1685,0.4393,0.2787,0.0562,0.8168,0.4313
14802,Dallas,Texas,75203,-96.80672,32.745831,Dallas-Ft. Worth,TX,1026339.0,481130041001015,0.19,10544.0,0.7783,0.1478,0.0739,0.0,0.0,0.5036,0.0985
14803,Dallas,Texas,75204,-96.78952,32.800333,Dallas-Ft. Worth,TX,1026339.0,481130016002032,0.19,15161.0,0.5944,0.2331,0.0909,0.0932,0.0,0.6861,0.3872
14804,Dallas,Texas,75206,-96.7712,32.826128,Dallas-Ft. Worth,TX,1026339.0,481130003001021,0.19,87973.0,0.1001,0.1345,0.3274,0.2436,0.2152,0.9616,0.5762
14805,Dallas,Texas,75207,-96.81992,32.78643,Dallas-Ft. Worth,TX,1026339.0,481130100001182,0.19,57244.0,0.0,0.4908,0.2077,0.3015,0.0,0.6337,0.0526
14806,Dallas,Texas,75208,-96.83864,32.751464,Dallas-Ft. Worth,TX,1026339.0,481130042021006,0.19,39469.0,0.2,0.4567,0.3731,0.0328,0.0478,0.6596,0.0
14807,Dallas,Texas,75209,-96.82552,32.845978,Dallas-Ft. Worth,TX,1026339.0,481130071021016,0.19,43695.0,0.2819,0.4184,0.2748,0.0674,0.0,0.8727,0.2215
14808,Dallas,Texas,75210,-96.74732,32.77103,Dallas-Ft. Worth,TX,1026339.0,481130027022001,0.19,19866.0,0.6423,0.3746,0.0873,0.0,0.0,0.4583,0.0491
14809,Dallas,Texas,75212,-96.86945,32.78238,Dallas-Ft. Worth,TX,1026339.0,481130205002028,0.19,16313.0,0.6334,0.2605,0.1479,0.0426,0.0,0.3992,0.0961
14810,Dallas,Texas,75214,-96.74872,32.825628,Dallas-Ft. Worth,TX,1026339.0,481130080006016,0.19,83344.0,0.1012,0.2077,0.3089,0.2531,0.199,0.9702,0.644
14811,Dallas,Texas,75215,-96.77035,32.76103,Dallas-Ft. Worth,TX,1026339.0,481130037002025,0.19,18526.0,0.7003,0.3232,0.0236,0.0404,0.0,0.6848,0.0798
14812,Dallas,Texas,75216,-96.7972,32.710082,Dallas-Ft. Worth,TX,1026339.0,481130088023012,0.19,13777.0,0.7963,0.0,0.2037,0.0,0.0,0.5306,0.0437
14813,Dallas,Texas,75217,-96.67582,32.72238,Dallas-Ft. Worth,TX,1026339.0,481130092023012,0.19,40397.0,0.1566,0.6032,0.2829,0.0178,0.0,0.6108,0.0833
14814,Dallas,Texas,75218,-96.69937,32.842726,Dallas-Ft. Worth,TX,1026339.0,481130082001012,0.19,78800.0,0.1306,0.1167,0.5528,0.2556,0.0,0.9743,0.5514
