name,city,state,state_url,school_name,player_url
"Ed Macauley","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Saint Louis University High School","http://www.basketball-reference.com/players/m/macaued01.html"
"Rich Niemann","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","DuBourg","http://www.basketball-reference.com/players/n/niemari01.html"
"Bevo Nordmann","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Saint Louis University High School","http://www.basketball-reference.com/players/n/nordmbe01.html"
"Med Park","Lexington","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Lexington","http://www.basketball-reference.com/players/p/parkme01.html"
"Anthony Peeler","Kansas City","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Paseo","http://www.basketball-reference.com/players/p/peelean01.html"
"Otto Porter","Sikeston","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Scott County Central","http://www.basketball-reference.com/players/p/porteot01.html"
"Ryan Robertson","Saint Charles","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","West","http://www.basketball-reference.com/players/r/roberry01.html"
"Harry Rogers","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Sumner","http://www.basketball-reference.com/players/r/rogerha01.html"
"Marshall Rogers","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Sumner","http://www.basketball-reference.com/players/r/rogerma01.html"
"Dick Rosenthal","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","McBride","http://www.basketball-reference.com/players/r/rosendi01.html"
"Kareem Rush","Kansas City","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Pembroke Hill","http://www.basketball-reference.com/players/r/rushka01.html"
"Lester Selvage","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Beaumont","http://www.basketball-reference.com/players/s/selvale01.html"
"Norm Stewart","Shelbyville","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Shelbyville","http://www.basketball-reference.com/players/s/stewano01.html"
"Steve Stipanovich","Creve Coeur","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","De Smet Jesuit","http://www.basketball-reference.com/players/s/stipast01.html"
"Jon Sundvold","Blue Springs","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Blue Springs","http://www.basketball-reference.com/players/s/sundvjo01.html"
"David Thirdkill","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Soldan","http://www.basketball-reference.com/players/t/thirdda01.html"
"Mike Todorovich","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Soldan","http://www.basketball-reference.com/players/t/todormi01.html"
"Anthony Tolliver","Springfield","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Kickapoo","http://www.basketball-reference.com/players/t/tollian01.html"
"Dean Tolson","Kansas City","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Central","http://www.basketball-reference.com/players/t/tolsode01.html"
"Jahidi White","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Cardinal Ritter","http://www.basketball-reference.com/players/w/whiteja01.html"
"Jo Jo White","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","McKinley","http://www.basketball-reference.com/players/w/whitejo01.html"
"Win Wilfong","Puxico","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Puxico","http://www.basketball-reference.com/players/w/wilfowi01.html"
"John Windsor","Kansas City","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Pem-Day","http://www.basketball-reference.com/players/w/windsjo01.html"
"Lee Winfield","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Sumner","http://www.basketball-reference.com/players/w/winfile01.html"
"Loren Woods","St. Louis","Missouri","http://www.basketball-reference.com/friv/high_schools.cgi?state=MO","Cardinal Ritter","http://www.basketball-reference.com/players/w/woodslo01.html"
"Ed Kalafat","Anaconda","Montana","http://www.basketball-reference.com/friv/high_schools.cgi?state=MT","Anaconda","http://www.basketball-reference.com/players/k/kalafed01.html"
"Larry Krystkowiak","Missoula","Montana","http://www.basketball-reference.com/friv/high_schools.cgi?state=MT","Big Sky","http://www.basketball-reference.com/players/k/krystla01.html"
"Ray Kuka","Havre","Montana","http://www.basketball-reference.com/friv/high_schools.cgi?state=MT","Havre","http://www.basketball-reference.com/players/k/kukara01.html"
"Mike Lewis","Missoula","Montana","http://www.basketball-reference.com/friv/high_schools.cgi?state=MT","Missoula","http://www.basketball-reference.com/players/l/lewismi01.html"
"Wally Anderzunas","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Creighton Preparatory School","http://www.basketball-reference.com/players/a/anderwa01.html"
"Ron Boone","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Omaha Technical","http://www.basketball-reference.com/players/b/boonero01.html"
"Bob Boozer","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Omaha Technical","http://www.basketball-reference.com/players/b/boozebo01.html"
"Dwaine Dillard","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Omaha Central","http://www.basketball-reference.com/players/d/dilladu01.html"
"Dave Hoppen","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Benson","http://www.basketball-reference.com/players/h/hoppeda01.html"
"Cedric Hunter","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Omaha South","http://www.basketball-reference.com/players/h/huntece01.html"
"Lee Johnson","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Omaha South","http://www.basketball-reference.com/players/j/johnsle01.html"
"Rich King","Omaha","Nebraska","http://www.basketball-reference.com/friv/high_schools.cgi?state=NE","Harry A. Burke","http://www.basketball-reference.com/players/k/kingri01.html"
