Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed,Birthplace,HomeTown,HighSchool,College,Past Pro,Past Pro 2,Twitter_id,Twitter_username,Twitter_followers,Twitter_friends
196,Dante Exum,UTA,$3615000,$3777720,$3940320,$4992385,,,1st Round Pick,$7392720,,,,,,,,,,
477,Darius Miller,NOP,$400000,,,,,,,$400000,,,,,,,,,,
448,Darius Morris,BRK,$702756,,,,,,Minimum Salary,,,,,,,,,,,
199,Darrell Arthur,DEN,$3457149,,,,,,Bird Rights,$3457149,,,,,,,,,,
160,Darren Collison,SAC,$4797664,$5013559,$5229454,,,,MLE,$15040677,,,,,,,,,,
22,David Lee,GSW,$15012000,$15493680,,,,,Bird Rights,$30505680,,,,,,,,,,
46,David West,IND,$12000000,$12000000,,,,,Early Bird Rights,$12000000,,,,,,,,,,
52,DeAndre Jordan,LAC,$11440124,,,,,,Bird Rights,$11440124,,,,,,,,,,
503,Dee Bost,UTA,$65000,,,,,,,$65000,,,,,,,,,,
285,DeJuan Blair,WAS,$2000000,$2000000,$2000000,,,,Bird Rights,$4000000,,,,,,,,,,
66,DeMar DeRozan,TOR,$9500000,$9500000,$9500000,,,,Bird Rights,$19000000,,,,,,,,,,
32,DeMarcus Cousins,SAC,$13701250,$14728844,$15756438,$16784031,,,1st Round Pick,$60970563,,,,,,,,,,
254,DeMarre Carroll,ATL,$2442455,,,,,,Cap Space,$2442455,,,,,,,,,,
304,Dennis Schroder,ATL,$1690680,$1763400,$2708582,,,,1st Round Pick,$3454080,,,,,,,,,,
9,Deron Williams,BRK,$19754465,$21042800,$22331135,,,,Bird Rights,$40797265,,,,,,,,,,
38,Derrick Favors,UTA,$12833333,$11933333,$10983333,$11933333,,,1st Round Pick,$46950000,,,,,,,,,,
13,Derrick Rose,CHI,$18862875,$20093063,$21323250,,,,Bird Rights,$60279188,,,,,,,,,,
117,Derrick Williams,SAC,$6331404,,,,,,1st Round Pick,$6331404,,,,,,,,,,
184,Devin Harris,DAL,$3878000,$4053000,$4228000,$4403000,,,,$16562000,,,,,,,,,,
419,Devyn Marble,ORL,$884879,$845059,$980431,,,,Cap Space,$884879,,,,,,,,,,
429,Dewayne Dedmon,ORL,$816482,$947278,,,,,Minimum Salary,,,,,,,,,,,
395,Diante Garrett,POR,$915243,$981348,,,,,,$30000,,,,,,,,,,
175,Dion Waiters,OKC,$4062000,$5138430,,,,,1st Round Pick,$4062000,,,,,,,,,,
88,Dirk Nowitzki,DAL,$7974482,$8333334,$8692184,,,,Cap Space,$16307816,,,,,,,,,,
390,Donald Sloan,IND,$948163,,,,,,Minimum Salary,,,,,,,,,,,
316,Donatas Motiejunas,HOU,$1483920,$2288205,,,,,1st Round Pick,$3772125,,,,,,,,,,
218,Dorell Wright,POR,$3150000,,,,,,Cap Space,$3150000,,,,,,,,,,
262,Doug McDermott,CHI,$2277960,$2380440,$2483040,$3294994,,,1st Round Pick,$4658400,,,,,,,,,,
408,Draymond Green,GSW,$915243,,,,,,MLE,$250000,,,,,,,,,,
500,Drew Crawford,ORL,$75000,,,,,,,$75000,,,,,,,,,,
108,Drew Gooden,MIL,$6680000,,,,,,,,,,,,,,,,,
328,Drew Gooden,WAS,$1448000,,,,,,Minimum Salary,$1448000,,,,,,,,,,
516,Drew Gordon,PHI,$40000,,,,,,,$40000,,,,,,,,,,
5,Dwight Howard,HOU,$21436271,$22359364,$23282457,,,,Cap Space,$43795635,,,,,,,,,,
469,Dwight Powell,DAL,$507336,$845059,,,,,Minimum Salary,$507336,,,,,,,,,,
23,Dwyane Wade,MIA,$15000000,$16125000,,,,,Bird Rights,,,,,,,,,,,
393,E'Twaun Moore,CHI,$948163,$1015421,,,,,Minimum Salary,$425000,,,,,,,,,,
382,Ed Davis,LAL,$981084,$1063384,,,,,Minimum Salary,$981084,,,,,,,,,,
384,Ekpe Udoh,LAC,$981084,,,,,,Minimum Salary,$981084,,,,,,,,,,
258,Elfrid Payton,ORL,$2397840,$2505720,$2613600,$3332340,,,1st Round Pick,$4903560,,,,,,,,,,
482,Elijah Millsap,UTA,$241731,$845059,$980431,,,,Minimum Salary,$59686,,,,,,,,,,
510,Elliot Williams,UTA,$53838,,,,,,,$53838,,,,,,,,,,
287,Elton Brand,ATL,$2000000,,,,,,Cap Space,$2000000,,,,,,,,,,
130,Enes Kanter,UTA,$5694674,,,,,,1st Round Pick,$5694674,,,,,,,,,,
43,Eric Bledsoe,PHO,$12173913,$13086957,$14000001,$14913045,$15826089,,Bird Rights,$70000000,,,,,,,,,,
24,Eric Gordon,NOP,$14898938,$15514031,,,,,Bird Rights,$14898938,,,,,,,,,,
491,Eric Griffin,DAL,$150000,,,,,,,$150000,,,,,,,,,,
269,Eric Maynor,PHI,$2106720,,,,,,,$2106720,,,,,,,,,,
456,Eric Moreland,SAC,$507336,$845059,$980431,,,,,$200000,,,,,,,,,,
468,Erick Green,DEN,$507336,$845059,$980431,,,,Minimum Salary,$50000,,,,,,,,,,
495,Erik Murphy,BOS,$100000,,,,,,,$100000,,,,,,,,,,
89,Ersan Ilyasova,MIL,$7900000,$7900000,$8400000,,,,Bird Rights,$16200000,,,,,,,,,,
315,Evan Fournier,ORL,$1483920,$2288205,,,,,1st Round Pick,$3772125,,,,,,,,,,
213,Evan Turner,BOS,$3278000,$3425510,,,,,MLE,$6703510,,,,,,,,,,
473,Fab Melo,MEM,$437080,$437080,,,,,,$874160,,,,,,,,,,
363,Festus Ezeli,GSW,$1112880,$2008748,,,,,,$3121628,,,,,,,,,,
337,Francisco Garcia,HOU,$1316809,,,,,,,$1316809,,,,,,,,,,
228,Furkan Aldemir,PHI,$3000000,,,,,,Minimum Salary,,,,,,,,,,,
438,Gal Mekel,DAL,$816482,$947276,,,,,,$1763758,,,,,,,,,,
